trade_date,series,open_price,high_price,low_price,prevclose_price,last_price,close_price,vwap,high_52w,low_52w,volume,turnover,number_trades,daily_return,price_change,intraday_volatility,month,year
2023-09-11,EQ,603.00,625.00,603,603,625,622.15,614.26,630,388.1,1437966,883288623.00,38179,3.18,19.15,22,Sep,2023
2023-09-08,EQ,596.60,608.80,593.1,602.95,603,603,602.19,630,376.5,1305445,786124002.45,35116,0.01,0.05,15.7,Sep,2023
2023-09-07,EQ,585.00,606.15,585,588.6,601.45,602.95,600.72,630,376.5,1855655,1114721058.75,47571,2.44,14.35,21.15,Sep,2023
2023-09-06,EQ,593.45,595.00,580.5,594.45,590,588.6,588.56,630,376.5,1165805,686149050.50,44954,-0.98,-5.85,14.5,Sep,2023
2023-09-05,EQ,577.00,596.95,575.45,574.75,596.5,594.45,592.16,630,376.5,1604634,950193019.85,37266,3.43,19.7,21.5,Sep,2023
2023-09-04,EQ,574.00,580.90,573,574.95,573.8,574.75,575.31,630,376.5,1737657,999683606.40,18187,-0.03,-0.2,7.9,Sep,2023
2023-09-01,EQ,589.55,590.00,573,589.55,574.95,574.95,576.35,630,365.75,1244029,717001168.25,28419,-2.48,-14.6,17,Sep,2023
2023-08-31,EQ,580.00,599.00,570.65,575.35,587,589.55,585.54,630,365.75,3059199,1791278635.90,46869,2.47,14.2,28.35,Aug,2023
2023-08-30,EQ,563.00,578.40,563,562.1,573.5,575.35,572.57,630,365.75,1411015,807903732.70,47123,2.36,13.25,15.4,Aug,2023
2023-08-29,EQ,560.00,569.85,559.95,554.95,563.9,562.1,562.56,630,365.75,2057981,1157737097.85,46491,1.29,7.15,9.9,Aug,2023
2023-08-28,EQ,560.00,561.25,551.1,553.6,552.7,554.95,555.08,630,365.75,1495246,829983253.75,38689,0.24,1.35,10.15,Aug,2023
2023-08-25,EQ,563.30,563.30,548,563.3,554,553.6,552.81,630,365.75,2226658,1230919789.60,39502,-1.72,-9.7,15.3,Aug,2023
2023-08-24,EQ,584.55,591.20,560.25,580.6,566.05,563.3,574.3,630,365.75,2650485,1522167530.75,60073,-2.98,-17.3,30.95,Aug,2023
2023-08-23,EQ,573.00,582.95,563.05,569.25,580,580.6,578.57,630,365.75,2227045,1288509259.05,61622,1.99,11.35,19.9,Aug,2023
2023-08-22,EQ,551.00,570.00,548.5,551,568.05,569.25,564.18,630,365.75,1524899,860313174.60,32742,3.31,18.25,21.5,Aug,2023
2023-08-21,EQ,530.80,554.80,530,533.4,552.05,551,549.5,630,365.75,1896773,1042272593.15,44959,3.3,17.6,24.8,Aug,2023
2023-08-18,EQ,544.50,547.95,530,541.7,533.9,533.4,537.56,630,354.1,1426478,766817612.30,39423,-1.53,-8.3,17.95,Aug,2023
2023-08-17,EQ,534.00,552.70,526.4,532,541.85,541.7,540.03,630,354.1,2257605,1219183710.25,54765,1.82,9.7,26.3,Aug,2023
2023-08-16,EQ,521.70,538.85,512.65,521.7,534,532,528.68,630,354.1,3631270,1919769521.05,112431,1.97,10.3,26.2,Aug,2023
2023-08-14,EQ,529.00,529.00,508.5,529.85,522.2,521.7,519.14,630,354.1,1978810,1027280817.45,60008,-1.54,-8.15,20.5,Aug,2023
2023-08-11,EQ,537.15,540.95,525.55,536.75,527,529.85,531.44,630,354.1,2626634,1395890235.30,68762,-1.29,-6.9,15.4,Aug,2023
2023-08-10,EQ,549.95,551.45,532.1,549.95,536.3,536.75,541.4,630,354.1,1880862,1018291663.10,44206,-2.4,-13.2,19.35,Aug,2023
2023-08-09,EQ,558.00,559.00,545.4,559.5,550,549.95,550.64,630,354.1,2275351,1252892120.30,41496,-1.71,-9.55,13.6,Aug,2023
2023-08-08,EQ,590.00,591.95,554.05,583.35,559.5,559.5,563.64,630,354.1,2930572,1651776716.25,78906,-4.09,-23.85,37.9,Aug,2023
2023-08-07,EQ,545.15,588.95,539.75,538.3,585.75,583.35,567.47,630,354.1,3104167,1761529467.15,72704,8.37,45.05,49.2,Aug,2023
2023-08-04,EQ,550.05,552.30,527,555.7,540.85,538.3,534.36,630,354.1,4948029,2644026484.80,112586,-3.13,-17.4,25.3,Aug,2023
2023-08-03,EQ,571.20,574.00,546.7,571.2,552.3,555.7,551.41,630,354.1,3497717,1928669241.80,82674,-2.71,-15.5,27.3,Aug,2023
2023-08-02,EQ,573.00,580.90,540.5,572.3,576.05,571.2,558.69,630,354.1,3918130,2189017112.05,84176,-0.19,-1.1,40.4,Aug,2023
2023-08-01,EQ,594.90,594.95,568.25,594.9,574.8,572.3,577.83,630,354.1,2483065,1434779666.85,64325,-3.8,-22.6,26.7,Aug,2023
2023-07-31,EQ,604.00,605.80,589.8,606.05,592,594.9,597.14,630,354.1,1734925,1035997888.20,76073,-1.84,-11.15,16,Jul,2023
2023-07-28,EQ,604.00,609.80,603,602.95,606.6,606.05,605.9,630,354.1,373573,226348953.90,29019,0.51,3.1,6.8,Jul,2023
2023-07-27,EQ,609.80,609.95,600.65,607.95,604,602.95,604.42,630,354.1,659020,398323129.00,21249,-0.82,-5,9.3,Jul,2023
2023-07-26,EQ,614.20,614.20,602,610.9,608.5,607.95,607.33,630,354.1,1216343,738724149.20,36327,-0.48,-2.95,12.2,Jul,2023
2023-07-25,EQ,614.30,618.00,605.4,611.65,610.3,610.9,613.33,630,354.1,1265799,776357769.70,29210,-0.12,-0.75,12.6,Jul,2023
2023-07-24,EQ,606.90,615.00,600,602.75,610.8,611.65,608.77,630,354.1,1127005,686088448.80,29916,1.48,8.9,15,Jul,2023
2023-07-21,EQ,605.45,611.75,600,609.25,602.95,602.75,605.2,630,353.6,814579,492983111.05,25274,-1.07,-6.5,11.75,Jul,2023
2023-07-20,EQ,610.00,616.55,605.05,611.55,612,609.25,610.36,630,353.6,686740,419161530.45,25104,-0.38,-2.3,11.5,Jul,2023
2023-07-19,EQ,605.00,614.75,600,603.9,612.95,611.55,606.46,630,353.6,2483696,1506268474.75,30076,1.27,7.65,14.75,Jul,2023
2023-07-18,EQ,611.90,611.95,601,612,606,603.9,604.77,630,353.6,1057388,639481785.05,39645,-1.32,-8.1,10.95,Jul,2023
2023-07-17,EQ,604.20,613.00,599.15,600.75,611.95,612,604.91,630,353.6,2039007,1233420956.95,26021,1.87,11.25,13.85,Jul,2023
2023-07-14,EQ,621.00,622.10,595.05,619.15,601.45,600.75,607.08,630,353.6,2456766,1491463204.25,47171,-2.97,-18.4,27.05,Jul,2023
2023-07-13,EQ,617.90,623.00,614,615.2,618.3,619.15,619.87,630,353.6,1496863,927860996.35,37735,0.64,3.95,9,Jul,2023
2023-07-12,EQ,621.00,621.40,611.45,619.4,614.1,615.2,615.23,630,353.6,1131249,695981044.25,37982,-0.68,-4.2,9.95,Jul,2023
2023-07-11,EQ,614.65,623.20,611.25,612.65,619,619.4,619.79,630,353.6,2169591,1344698429.80,47639,1.1,6.75,11.95,Jul,2023
2023-07-10,EQ,610.00,617.20,608.6,609.9,610.4,612.65,613.22,630,353.6,812693,498356884.40,27030,0.45,2.75,8.6,Jul,2023
2023-07-07,EQ,613.80,619.40,605.4,614.25,611.4,609.9,613.73,630,353.6,819005,502645709.55,20721,-0.71,-4.35,14,Jul,2023
2023-07-06,EQ,607.70,618.60,602.1,603.65,614,614.25,610.69,630,353.6,6200292,3786458963.15,71048,1.76,10.6,16.5,Jul,2023
2023-07-05,EQ,598.00,612.35,593.85,593.85,604.3,603.65,601.11,630,353.6,4900045,2945486524.80,40390,1.65,9.8,18.5,Jul,2023
2023-07-04,EQ,605.00,608.60,590.15,605.85,593.9,593.85,597.84,630,353.6,1323219,791075782.85,23780,-1.98,-12,18.45,Jul,2023
2023-07-03,EQ,600.00,608.40,596,599.45,605.2,605.85,604.39,630,353.6,1215993,734939707.80,20639,1.07,6.4,12.4,Jul,2023
2023-06-30,EQ,609.00,620.85,596.7,603.3,600,599.45,606.96,630,353.6,2202968,1337121507.60,65551,-0.64,-3.85,24.15,Jun,2023
2023-06-28,EQ,609.70,623.45,598.3,609.65,602.9,603.3,614.48,630,353.6,5720825,3515332327.70,32626,-1.04,-6.35,25.15,Jun,2023
2023-06-27,EQ,609.65,616.85,605.85,602.65,608.2,609.65,610.57,630,353.6,1876097,1145493321.75,40378,1.16,7,11,Jun,2023
2023-06-26,EQ,578.65,609.00,578.65,580.55,605.5,602.65,598.56,630,353.6,2073893,1241341621.70,43462,3.81,22.1,30.35,Jun,2023
2023-06-23,EQ,577.00,585.50,565.25,580.95,580,580.55,577.89,630,348.85,1464594,846381079.30,30900,-0.07,-0.4,20.25,Jun,2023
2023-06-22,EQ,581.40,586.95,571.25,579.4,579,580.95,581.95,630,348.85,1288376,749766471.55,36960,0.27,1.55,15.7,Jun,2023
2023-06-21,EQ,588.45,594.80,575.55,584.05,577.9,579.4,581.86,630,348.85,2094468,1218679228.35,28479,-0.8,-4.65,19.25,Jun,2023
2023-06-20,EQ,601.25,602.85,582.35,601.65,584,584.05,587.54,630,348.85,1970415,1157689251.10,56520,-2.93,-17.6,20.5,Jun,2023
2023-06-19,EQ,597.35,630.00,595.5,594.4,601.2,601.65,610.74,630,348.85,2090957,1277034615.65,52370,1.22,7.25,34.5,Jun,2023
2023-06-16,EQ,590.00,600.55,585.85,585,595.95,594.4,593,600.55,344.4,1938902,1149777749.85,49160,1.61,9.4,14.7,Jun,2023
2023-06-15,EQ,585.65,593.45,575.65,583.4,587.95,585,584.82,593.45,344.4,1516197,886706857.85,37161,0.27,1.6,17.8,Jun,2023
2023-06-14,EQ,575.00,584.65,573.25,576.55,584.4,583.4,580.15,584.65,344.4,2597751,1507097264.40,34024,1.19,6.85,11.4,Jun,2023
